Date,Open,High,Low,Close,Volume
2017-01-23 11-17,119.8936,119.8936,119.8936,119.8936,43016
2017-01-23 11-18,119.8969,119.8969,119.8969,119.8969,29305
2017-01-23 11-19,119.89,119.89,119.89,119.89,22849
2017-01-23 11-20,119.875,119.875,119.875,119.875,33845
2017-01-23 11-21,119.8764,119.8764,119.8764,119.8764,27762
2017-01-23 11-22,119.84,119.84,119.84,119.84,82590
2017-01-23 11-23,119.83,119.83,119.83,119.83,135591
2017-01-23 11-24,119.82,119.82,119.82,119.82,55734
2017-01-23 11-25,119.82,119.82,119.82,119.82,69884
2017-01-23 11-26,119.84,119.84,119.84,119.84,35704
2017-01-23 11-27,119.84,119.84,119.84,119.84,61602
2017-01-23 11-28,119.86,119.86,119.86,119.86,52779
2017-01-23 11-29,119.9,119.9,119.9,119.9,64231
2017-01-23 11-30,119.94,119.94,119.94,119.94,63874
2017-01-23 11-31,119.9607,119.9607,119.9607,119.9607,62727
2017-01-23 11-32,119.94,119.94,119.94,119.94,25659
2017-01-23 11-33,119.97,119.97,119.97,119.97,37419
2017-01-23 11-34,119.98,119.98,119.98,119.98,70620
2017-01-23 11-35,119.975,119.975,119.975,119.975,46708
2017-01-23 11-36,119.98,119.98,119.98,119.98,19614
2017-01-23 11-37,120,120,120,120,51655
2017-01-23 11-38,119.9943,119.9943,119.9943,119.9943,64542
2017-01-23 11-39,119.97,119.97,119.97,119.97,35133
2017-01-23 11-40,120,120,120,120,83648
2017-01-23 11-41,120.02,120.02,120.02,120.02,38673
2017-01-23 11-42,120.0199,120.0199,120.0199,120.0199,26676
2017-01-23 11-43,120.0216,120.0216,120.0216,120.0216,69469
2017-01-23 11-44,120.01,120.01,120.01,120.01,23026
2017-01-23 11-45,119.9769,119.9769,119.9769,119.9769,29660
2017-01-23 11-46,119.96,119.96,119.96,119.96,59073
2017-01-23 11-47,119.84,119.84,119.84,119.84,90383
2017-01-23 11-48,119.87,119.87,119.87,119.87,28801
2017-01-23 11-49,119.8731,119.8731,119.8731,119.8731,36732
2017-01-23 11-50,119.78,119.78,119.78,119.78,50748
2017-01-23 11-51,119.8287,119.8287,119.8287,119.8287,25367
2017-01-23 11-52,119.8447,119.8447,119.8447,119.8447,18688
2017-01-23 11-53,119.8205,119.8205,119.8205,119.8205,29613
2017-01-23 11-54,119.8,119.8,119.8,119.8,29319
2017-01-23 11-55,119.8289,119.8289,119.8289,119.8289,26492
2017-01-23 11-56,119.86,119.86,119.86,119.86,36484
2017-01-23 11-57,119.84,119.84,119.84,119.84,26336
2017-01-23 11-58,119.87,119.87,119.87,119.87,61181
2017-01-23 11-59,119.91,119.91,119.91,119.91,75438
2017-01-23 12-00,119.93,119.93,119.93,119.93,46684
2017-01-23 12-01,119.925,119.925,119.925,119.925,25145
2017-01-23 12-02,119.92,119.92,119.92,119.92,31199
2017-01-23 12-03,119.94,119.94,119.94,119.94,18658
2017-01-23 12-04,119.9352,119.9352,119.9352,119.9352,36832
2017-01-23 12-05,119.93,119.93,119.93,119.93,15699
2017-01-23 12-06,119.9241,119.9241,119.9241,119.9241,24816
2017-01-23 12-07,119.93,119.93,119.93,119.93,20245
2017-01-23 12-08,119.945,119.945,119.945,119.945,14529
2017-01-23 12-09,119.95,119.95,119.95,119.95,32455
2017-01-23 12-10,119.93,119.93,119.93,119.93,17251
2017-01-23 12-11,119.9497,119.9497,119.9497,119.9497,41317
2017-01-23 12-12,119.94,119.94,119.94,119.94,16055
2017-01-23 12-13,119.91,119.91,119.91,119.91,23067
2017-01-23 12-14,119.925,119.925,119.925,119.925,10786
2017-01-23 12-15,119.895,119.895,119.895,119.895,31257
2017-01-23 12-16,119.9,119.9,119.9,119.9,64062
2017-01-23 12-17,119.965,119.965,119.965,119.965,30023
2017-01-23 12-18,120.0165,120.0165,120.0165,120.0165,87307
2017-01-23 12-19,120.03,120.03,120.03,120.03,41170
2017-01-23 12-20,120.01,120.01,120.01,120.01,26485
2017-01-23 12-21,119.98,119.98,119.98,119.98,28264
2017-01-23 12-22,119.9774,119.9774,119.9774,119.9774,33228
2017-01-23 12-23,119.987,119.987,119.987,119.987,8760
2017-01-23 12-24,119.9941,119.9941,119.9941,119.9941,70672
2017-01-23 12-25,120.01,120.01,120.01,120.01,50955
2017-01-23 12-26,119.995,119.995,119.995,119.995,19787
2017-01-23 12-27,120.007,120.007,120.007,120.007,24972
2017-01-23 12-28,120.0465,120.0465,120.0465,120.0465,17276
2017-01-23 12-29,120,120,120,120,50569
2017-01-23 12-30,120.0151,120.0151,120.0151,120.0151,23562
2017-01-23 12-31,120.0235,120.0235,120.0235,120.0235,35491
2017-01-23 12-32,120.065,120.065,120.065,120.065,35086
2017-01-23 12-33,120.06,120.06,120.06,120.06,26204
2017-01-23 12-34,120.1,120.1,120.1,120.1,27399
2017-01-23 12-35,120.11,120.11,120.11,120.11,37491
2017-01-23 12-36,120.08,120.08,120.08,120.08,41724
2017-01-23 12-37,120.12,120.12,120.12,120.12,15098
2017-01-23 12-38,120.129,120.129,120.129,120.129,40737
2017-01-23 12-39,120.1,120.1,120.1,120.1,24510
2017-01-23 12-40,120.08,120.08,120.08,120.08,33225
2017-01-23 12-41,120.07,120.07,120.07,120.07,26223
2017-01-23 12-42,120.079,120.079,120.079,120.079,20017
2017-01-23 12-43,120.02,120.02,120.02,120.02,25672
2017-01-23 12-44,120.02,120.02,120.02,120.02,22580
2017-01-23 12-45,120.02,120.02,120.02,120.02,17380
2017-01-23 12-46,120.0158,120.0158,120.0158,120.0158,9396
2017-01-23 12-47,119.999,119.999,119.999,119.999,24300
2017-01-23 12-48,119.99,119.99,119.99,119.99,12073
2017-01-23 12-49,119.9647,119.9647,119.9647,119.9647,24468
2017-01-23 12-50,120.01,120.01,120.01,120.01,27031
2017-01-23 12-51,120,120,120,120,93669
2017-01-23 12-52,120.035,120.035,120.035,120.035,33401
2017-01-23 12-53,120.03,120.03,120.03,120.03,18465
